moment             ,fa20,fp20,fa4,fp4,fa5,fp5,c20,cmb1,cmb2,f1,f2,f3,f4,f5,f6,f7,f8,c4,c5,eov4,eov5,power
2007-10-17 18:46:42,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:44,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:46,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:48,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:50,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:52,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:54,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:56,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:46:58,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:47:00,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:47:02,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:47:04,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:47:06,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
2007-10-17 18:47:08,   0,   0,  0,  0,  0,  0,  0,   0,   0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,   0,   0,    0
